id,mode,scene,hierarchy,source_sha256,source_utf16_length,translation,review_status
il_3c38754b35b9a998,exact,*,*,af3bee26e96a408e4687a66322e2032a7f7762a3a3f5e482498905c80e93bfc4,18,"
简易模式已关闭。",approved
il_d4d566eb17cbfc72,exact,*,*,135653f7244508a6454ee2297cf547e72d4b0800c3ea06714317a89a5aee1a8b,17,"
简易模式已开启。",approved
dialogue_map8_0017,exact,*,*,ab5df625bc76dbd4e163bed2dd888df828f90159bb93556525c31821b6541d46,3,……,approved
level_10_flavorText,exact,*,*,cc4c1c1c307c5697d35977b7140b0585805532b3c09d0134273a6118ddad5524,27,……看看她发现了什么。,approved
level_04_flavorText,exact,*,*,0d34d40a56d8df0c4e1041007a4dd4d715f0ecc36218b42b11ada3baceb30dad,19,……如果我是一条蠕龙？,approved
level_07_flavorText,exact,*,*,7602b1a28c371d4feb6c766a6f3052e820914ad75b4a397e40caa75af30ed8b7,46,……比特权的选择更有价值。,approved
dialogue_map11_0010,exact,*,*,ac32743f5560b33b04fc3c0c02f7555d0faa6758cfc03072677bc314873845cd,66,<i>那是</i>伊克斯？！蒂尔德……你一路追的就是这个东西？,approved
character_???,exact,*,*,a03b221c6c6eae7122ca51695d456d5222e524889136394944b2f9763b483615,3,？？？,approved
il_a54d85eefbc6b46d,exact,*,*,0c97c00699ad8bbc763a08dceb1e49c9a06b9f8998f4a4956636556ae10b0028,29,单位独有的被动技能。,approved
dialogue_map3_0038,exact,*,*,d3f27745cecde1d6862cca7716f991d7db6c6fa0b4266c576b9faf8b72ea09e1,23,啊啊啊啊啊啊啊啊啊啊！,approved
dialogue_map5_0016,exact,*,*,8e6796237baa5176649828047ee9619b1994871786bf401241d1b50f68e32636,17,啊啊啊，我的眼睛！,approved
il_e3886c3865886799,exact,*,*,de9ef1d0a6981ca4c8873ad14c332f9348d6ec86befc4701e34ab9714c8db4a5,46,ACC 用于决定攻击是否命中。,approved
il_cfd692d02238cbf5,exact,*,*,45fc7ab6848020abf6f0036c08968230fcb82e050e19d51026c20da36cff1bee,34,AER 用于造成魔法伤害。,approved
dialogue_map3_0031,exact,*,*,09e8ffbdda3b094ab9ecc7cc80fa035f7e5a391402770fae87506331901cec8c,25,哈哈哈哈哈哈哈哈哈哈哈哈！,approved
term_ARCHMAGE,exact,*,*,beffa72373dd69dbb0b848eef7b391cb45e918c660fa2bb1d5b18812e84a15c2,8,ARCHMAGE,approved
