id	mode	scene	hierarchy	source_sha256	source_utf16_length	translation_base64
collectible_meta_13_shortName	exact	*	*	00af4bfc7d2509e082e4441cd3db2546b5db430b09dc013a7daf2d7ec5727dbd	12	5pel6K6w6aG1IDg=
dialogue_map0_0004	exact	*	*	00b1293ac9b5bbbb0de99f594ecdff96a809433e9e6fc4c91218966ea375b84a	34	5bCx5piv6L+Z6YeM77yB56aB5Lmm5Yy677yB
dialogue_map3_0021	exact	*	*	00ff6c8a4521e7835663b42d30c7aefaa0f9c8525faf772707f04f6b2e157e39	60	5oiR5Y+q6KaB5pu/5L2g6Kej5byA6L+Z5pys5Lmm55qE6ZSB6ZO+77yf
dialogue_map9_0003	exact	*	*	025b72c17f89fedb912c183b581d386f3168dde754813b9beb2e4ff8f55781ad	81	6L+Z5Liq5Zyw5pa55b6I54af5oKJ4oCm4oCm5L2G5oiR5oOz5LiN6LW35pyJ5LuA5LmI6YeN6KaB5LmL5aSE44CC
dialogue_map3_0004	exact	*	*	02f2f036ca8c172bbc3280ed5b16a1a0ae1196aa25609377b1b30618b7829bfd	12	5L2g5aW94oCm4oCm5LyK5YWL5pav77yf
dialogue_map0_0015	exact	*	*	034cc0d60469129a70a456bf6511445774d74b006761d8005dea25d946c4a5d9	51	6L+Z5ZKM5Zyo5aSW6Z2i6LWw6Lev5rKh5LuA5LmI5Lik5qC377yM5a+55ZCn77yf
dialogue_map3_0016	exact	*	*	04f8bfba92bdbdf3e7c3db5e615b36bd59d4a43cd98fb3b0ba2827e0d062b2ed	130	6a2U5rOV77yB5oiR5oOz5a2m5Lya5o+Q5Y2H6a2U5rOV55qE5pa55rOV77yB5oiR5oC75piv5YGa5LiN5aW977yB6K+V6L+H55qE6KGl5pWR5Yqe5rOV5rKh5pyJ5LiA5Liq55yf5q2j566h55So44CC
dialogue_map9_0008	exact	*	*	052717e7cab1857b5a2e0101e09c406834b6311283a9b1e8218d0ebe58aa1184	34	6JKC5bCU5b6377yM5L2g55qE54i25q+N5piv5LuA5LmI5qC355qE5Lq677yf
collectible_meta_05_inGameName	exact	*	*	052b837a4da1625a8f764d7dfbfbe05f38a3c6cf1f6747c06f9d0c26fecbe6d7	30	5pel6K6w6aG1IDTvvJrlgqjol4/pmr7popg=
dialogue_map11_0011	exact	*	*	05a7b29f6b0f37aae868427a7da9717262dd7e5cf74e42762eb59793f86ec890	49	5a+55ZWK77yB546w5Zyo6IO95pWZ5oiR5oCO5LmI5pa95pS+54iG54K45pyv5LqG5ZCX77yf
